depmap_id,cell_line_name,p53_S15_low_DDR,p53_S15_high_DDR,p53_S15_AUC_across_DDR,p53_S46_low_DDR,p53_S46_high_DDR,p53_S46_AUC_across_DDR,p53_S46_to_S15_ratio
ACH-000927,BT474,0.00019882362583401215,0.044177821088398045,0.022753168437233795,6.078847732631306e-05,0.013810361578540532,0.007069108442429408,0.3106867578132373
ACH-000288,BT549,0.0008922777111052381,0.06186373307606174,0.04186852705882129,0.00017918486876457263,0.012155284788291464,0.008394656708887716,0.2005004020464733
ACH-000212,CAL120,0.0006649397315584409,0.05849223196957454,0.03697548078636041,9.987250402669078e-05,0.008600013001774091,0.005475832706323223,0.14809361343719282
ACH-000856,CAL51,0.00043075080225606316,0.05294497963536118,0.03269991807276097,0.0001233273280292447,0.015562470135987414,0.009516008009686784,0.2910101394597523
ACH-000783,CAMA1,0.0004488102571053787,0.058761165603338404,0.03542094187776827,6.997759488887775e-05,0.009062886154462678,0.005456589652226221,0.1540498137233669
ACH-000330,EFM19,0.0002587156414833905,0.0494494839479828,0.027040776271779247,5.7038252782532074e-05,0.01092942798375172,0.0059747954255454944,0.22095501787890584
ACH-000117,EFM192A,0.00012213781732465595,0.034972633155120905,0.015651232768558603,1.9717492426789565e-05,0.005612287690427576,0.002516954472899264,0.16081508398114372
ACH-000374,HCC1143,0.0009437486390554206,0.05581228948067603,0.04232124284462875,0.00017918697945601203,0.010653667414895351,0.008012460422327816,0.18932478572093592
ACH-000699,HCC1395,0.0010981350647585057,0.058731224403042126,0.04065083192585758,0.000305723476398698,0.016374439142898274,0.011508901139547022,0.2831159981528036
ACH-000277,HCC1419,0.0003445767195279827,0.05553363076191817,0.03207153143012431,3.88967241427534e-05,0.006091852439801984,0.0035502012169667347,0.11069633871414525
ACH-000352,HCC1428,0.00033859870545696353,0.05484835552288749,0.031804106806147016,6.573566475977421e-05,0.010648316967063618,0.006155755440425389,0.19355221275019135
ACH-000624,HCC1806,0.0010199251488942156,0.06385412953291092,0.0415425200891933,9.419842273502474e-05,0.005660343265236937,0.0037281848903703676,0.08974382855498393
ACH-000223,HCC1937,0.00031811962134322764,0.055610784602763676,0.03166432173012433,2.7825661338713422e-05,0.004693053107579368,0.002702089645527872,0.08533546315068341
ACH-000276,HCC38,0.00022795436856571684,0.043125274595243984,0.023291558417903167,7.8464453455392e-05,0.015289311595194971,0.008194787709836603,0.3518350816621424
ACH-000643,HDQP1,0.00051354155360004,0.05685033931801128,0.035276853978136034,5.7420810539651574e-05,0.006165779650027438,0.0038641436146834964,0.10953764492550211
ACH-000721,HMC18,0.00034325976123420577,0.051919656164698284,0.030435591889186524,2.826093979688283e-05,0.004146189084014727,0.0024476921165153868,0.0804220284266264
ACH-000711,JIMT1,0.0009445613033513932,0.05992075077883254,0.042002355477815556,0.0001845467450326522,0.011566105848217005,0.008195845734126331,0.19512823616111022
ACH-000759,MDAMB175VII,0.0005986908747819892,0.05351304877051072,0.03387649342568419,0.00013170832129662672,0.011765524629640646,0.007465825149028284,0.22038363991310472
ACH-000768,MDAMB231,0.0005302469630060479,0.05269259844394583,0.03298885213152584,0.00016341083745889686,0.016770474300135053,0.010372418087620622,0.3144219062804644
ACH-000934,MDAMB361,0.00015890453240795287,0.04028220348752817,0.019576149890673508,3.31954628045722e-05,0.008429066334964859,0.004094497914351525,0.2091574557847442
ACH-000573,MDAMB436,0.0008495747141027184,0.053743592303869964,0.035297682675857464,0.00029419342596871006,0.01946380543266551,0.012570807122392145,0.35613688529341636
ACH-000849,MDAMB468,0.0006228877242369652,0.06044591325606125,0.04042360696252653,8.789607307705867e-05,0.008376175523555426,0.005623134159036654,0.13910520219396072
ACH-000147,T47D,0.0004469519611109484,0.058875702002535814,0.03597257762666283,7.019328503496859e-05,0.009174972179972464,0.005586831849329616,0.15530807249910805
ACH-000097,ZR751,0.00044045252049245857,0.057962862462737616,0.034677778624944214,5.354902691100864e-05,0.006847190556944872,0.004133925579844614,0.11920963869529362
ACH-000859,HCC1954,0.0006425174912910211,0.06145133143145337,0.041419151969638524,7.924062021289057e-05,0.0073835173322863755,0.005012574225854211,0.12102068406682719
ACH-000019,MCF7,0.00011714481145180755,0.038338844567515885,0.016194053339465338,2.5860023316599732e-05,0.008494328488348371,0.00358496489949002,0.22137537792209122
