analysis,term,coef,hazard_ratio,ci_lower,ci_upper,p_value,n_patients,n_events
cox_risk_score_only,tcga_survival_risk_score,1.0000002752555557,2.7182825766813234,1.8827081459662256,3.924697613127452,9.486230927288629e-08,1081,151
cox_risk_score_plus_age,tcga_survival_risk_score,0.8830903771923446,2.418361820317388,1.6664415900254825,3.5095582881362177,3.355572563947711e-06,1081,151
cox_risk_score_plus_age,age,0.027204687695889882,1.0275781138351785,1.0151545812044371,1.0401536865255174,1.1677731248929574e-05,1081,151
median_high_vs_low_logrank,High TCGA-derived risk vs low TCGA-derived risk,,,,,1.2921011612302582e-06,1081,151
