analysis,term,coef,hazard_ratio,ci_lower,ci_upper,p_value,n_patients,n_events
cox_signature_only,prism_doxorubicin_signature_score,-0.05112780823833317,0.9501572248506652,0.7831981936960428,1.1527079086782106,0.6040630822148157,1081,151
cox_signature_plus_age,prism_doxorubicin_signature_score,-0.050108231898039736,0.9511264767058472,0.7833088488674648,1.1548976830771676,0.6129086648229285,1081,151
cox_signature_plus_age,age,0.0321682241273021,1.0326912142719826,1.0200854926179388,1.0454527113189414,2.8440028470417126e-07,1081,151
median_high_vs_low_logrank,High transferred score vs low transferred score,,,,,0.8812417482029877,1081,151
optimal_cutpoint_high_vs_low_logrank,High transferred score vs low transferred score (optimal cutpoint),,,,,0.24119234748568574,1081,151
