feature,count,mean,std,min,25%,50%,75%,max
p53_S15_low_DDR,26.0,0.0005198556948206447,0.00029066777128064193,0.00011714481145180755,0.0003232393923716616,0.00044788110910816355,0.0006593341714915859,0.0010981350647585057
p53_S15_high_DDR,26.0,0.05362209924473002,0.007609276853447472,0.034972633155120905,0.05211289173451017,0.05557220768234092,0.05875368030326433,0.06385412953291092
p53_S15_AUC_across_DDR,26.0,0.03284220409651452,0.007892039499622597,0.015651232768558603,0.030742774349420975,0.0342771360253142,0.039561575418485,0.04232124284462875
p53_S46_low_DDR,26.0,0.00010036205661468874,7.672707337282476e-05,1.9717492426789565e-05,5.4421333378889496e-05,7.43288692451803e-05,0.00012961307297978123,0.000305723476398698
p53_S46_high_DDR,26.0,0.01014334017794918,0.0040940560864266284,0.004146189084014727,0.0069812722507802474,0.009118929167217571,0.01205784474862876,0.01946380543266551
p53_S46_AUC_across_DDR,26.0,0.006200345628279724,0.0027774420019684026,0.0024476921165153868,0.0039217321896005035,0.005604983004183135,0.008149205887959407,0.012570807122392145
p53_S46_to_S15_ratio,26.0,0.19349697343108488,0.08222320680509809,0.0804220284266264,0.12554181359861058,0.19143849923556364,0.22127028791129488,0.35613688529341636
