feature,count,mean,std,min,25%,50%,75%,max
p53_S15_low_DDR,1081.0,0.0005156424741024932,0.00010226587764224025,0.00022833071819981164,0.00045849536548925736,0.0005136415914222089,0.000567250291334355,0.0011944923122390342
p53_S15_high_DDR,1081.0,0.0576389468575293,0.0022010739243045647,0.047826425780267516,0.05653255673057912,0.057861075218714954,0.0589260981898771,0.06669067539811366
p53_S15_AUC_across_DDR,1081.0,0.03566436099371686,0.0024936635836257525,0.026027621203841368,0.03433487038962099,0.03581512678809972,0.037169347063498795,0.04425041300041306
p53_S46_low_DDR,1081.0,9.546867248301196e-05,2.12613777900442e-05,3.6942496581997236e-05,8.192770997446106e-05,9.569366983430987e-05,0.00010866983981955735,0.00017809478988580117
p53_S46_high_DDR,1081.0,0.010660812230832368,0.001316395757603926,0.005042267783707527,0.009828509662362277,0.010689088209744827,0.011559243282811183,0.01445402803302418
p53_S46_AUC_across_DDR,1081.0,0.00656983834461702,0.0008756375398354201,0.0030781186512214807,0.006017721766894621,0.006595709079251603,0.007153343964588837,0.009409495431872706
p53_S46_to_S15_ratio,1081.0,0.18476415421785294,0.025111143521304464,0.08409447960086554,0.16886286893994243,0.18541104688459342,0.20107294981682283,0.2576324578370248
